OBJECTID,Station Name,Address,Address2,City,State,Zip,Contact,Contact Title,Phone,Email,Up Date,x,y
25,NEW YORK CITY FIRE DEPARTMENT BATTALION 47 LADDER 121 ENGINE 265 / EMERGENCY MEDICAL SERVICES - ROCKAWAY STATION,48-06 ROCKAWAY BEACH BOULEVARD, ,FAR ROCKAWAY,NY,11691,,,718-476-6247,,,603302.858634189,4494353.74683328
26,NEW YORK CITY FIRE DEPARTMENT LADDER 81 ENGINE 161 BRUSH FIRE UNIT 5,278 MCCLEAN AVENUE, ,STATEN ISLAND,NY,10305,,,718-494-4281,,,578700.072806873,4494397.21616209
27,NEW YORK CITY FIRE DEPARTMENT ENGINE 154 BRUSH FIRE UNIT 4 FOAM APPARATUS 84,3730 VICTORY BOULEVARD, ,STATEN ISLAND,NY,10314,,,718-494-4254,,,569347.73863483,4494446.2692188
28,POINT LOOKOUT - LIDO FIRE DEPARTMENT STATION 1,106 LIDO BOULEVARD, ,POINT LOOKOUT,NY,11569,,,516-432-6636,,,620160.273499534,4494468.39280488
29,RESCUE FIRE STATION,BAYSIDE DR AND PARKSIDE DR,,POINT LOOKOUT,NY,11561,,,,,,619831.959900006,4494616.2601913
30,NEW YORK CITY FIRE DEPARTMENT ENGINE 254 LADDER 153,901 AVENUE U, ,BROOKLYN,NY,11223,,,718-965-8254,,,587825.225731272,4494704.70835823
31,NEW YORK CITY FIRE DEPARTMENT ENGINE 253,2429 86TH STREET, ,BROOKLYN,NY,11214,,,718-965-8253,,,585589.535703883,4494739.84875296
32,NEW YORK CITY FIRE DEPARTMENT ENGINE 321 FOAM APPARATUS 87 BRUSH FIRE UNIT 6,2165 GERRITSEN AVENUE, ,BROOKLYN,NY,11229,,,718-965-8321,,,590089.23700049,4495150.43028506
33,NEW YORK CITY FIRE DEPARTMENT BATTALION 42 ENGINE 243 LADDER 168,8653 18TH AVENUE, ,BROOKLYN,NY,11214,,,718-965-8342,,,584305.456561885,4495501.23134101
34,NEW YORK CITY FIRE DEPARTMENT DIVISION 8 ENGINE 160 RESCUE 5 TACTICAL SUPPORT UNIT 2,1850 CLOVE ROAD, ,STATEN ISLAND,NY,10304,,,718-494-4260,,,577049.35061413,4495565.11128638
35,NEW YORK CITY FIRE DEPARTMENT LADDER 134 ENGINE 264 ENGINE 328,16-19 CENTRAL AVENUE, ,FAR ROCKAWAY,NY,11691,,,718-476-6264,,,605579.429782354,4495630.81301083
36,NEW YORK CITY FIRE DEPARTMENT BATTALION 33 ENGINE 276 LADDER 156,1635 EAST 14TH STREET, ,BROOKLYN,NY,11229,,,718-965-8333,,,588054.133754351,4495914.14654111
37,BROAD CHANNEL VOLUNTEER FIRE DEPARTMENT AND AMBULANCE CORPS INCORPORATED,15 NOEL ROAD, ,BROAD CHANNEL,NY,11693,,,718-474-6888,,,599959.99572969,4495914.40592345
38,NEW YORK CITY FIRE DEPARTMENT ENGINE 152 FOAM APPARATUS 152,256 HYLAN BOULEVARD, ,STATEN ISLAND,NY,10305,,,718-494-4252,,,578632.062058527,4496069.62745434
39,ISLAND PARK FIRE DEPARTMENT,440 LONG BEACH ROAD, ,ISLAND PARK,NY,11558,,,516-432-0738,,,613870.938693775,4496116.6642384
40,NEW YORK CITY FIRE DEPARTMENT ENGINE 330 LADDER 172,2312 65TH STREET, ,BROOKLYN,NY,11204,,,718-965-8330,,,586354.809842294,4496206.21634061
41,NEW YORK CITY FIRE DEPARTMENT LADDER 86 ENGINE 166 BRUSH FIRE UNIT 2,1400 RICHMOND AVENUE, ,STATEN ISLAND,NY,10314,,,718-494-4266,,,571210.553767853,4496277.81086091
42,NEW YORK CITY FIRE DEPARTMENT LADDER 83 ENGINE 163,875 JEWETT AVENUE, ,STATEN ISLAND,NY,10314,,,718-494-4263,,,573520.357009069,4496408.04734209
43,NEW YORK CITY FIRE DEPARTMENT ENGINE 309 LADDER 159,1851 EAST 48TH STREET, ,BROOKLYN,NY,11234,,,718-965-8309,,,590665.757683353,4496599.45973249
44,NEW YORK CITY FIRE DEPARTMENT ENGINE 242 REST AND CARE UNIT 5,9219 5TH AVENUE, ,BROOKLYN,NY,11209,,,718-965-8242,,,582089.620901492,4496736.64028361
45,NEW YORK CITY FIRE DEPARTMENT COMMUNICATIONS OFFICE,65 SLOSSON AVENUE, ,STATEN ISLAND,NY,10314,,,718-494-4248,,,574657.122542741,4496856.29206612
46,INWOOD FIRE DEPARTMENT,188 DOUGHTY BOULEVARD, ,INWOOD,NY,11096,,,516-239-3057,,,606048.415013298,4496972.79126598
47,NEW YORK CITY FIRE DEPARTMENT ENGINE 284 LADDER 149 SATELLITE 3,1157 79TH STREET, ,BROOKLYN,NY,11228,,,718-965-8284,,,583522.928924814,4497037.56943406
48,NEW YORK CITY FIRE DEPARTMENT ENGINE 323,6405 AVENUE N, ,BROOKLYN,NY,11234,,,718-965-8323,,,591700.268136701,4497153.5855791
49,LAWRENCE CEDARHURST FIRE DEPARTMENT,75 WASHINGTON AVENUE, ,LAWRENCE,NY,11559,,,516-569-0042,,,607688.40109947,4497265.89130375
50,NEW YORK CITY FIRE DEPARTMENT LADDER 77 ENGINE 153,74 BROAD STREET, ,STATEN ISLAND,NY,10304,,,718-494-4253,,,578007.385289609,4497534.5531689
51,OCEANSIDE FIRE DEPARTMENT STATION 2,3615 OCEANSIDE ROAD, ,OCEANSIDE,NY,11572,,,516-766-2717,,,615678.333313691,4497868.84690795
52,NEW YORK CITY FIRE DEPARTMENT ENGINE 250,126 FOSTER AVENUE, ,BROOKLYN,NY,11230,,,718-965-8250,,,586639.061748629,4497939.63017071
53,NEW YORK CITY FIRE DEPARTMENT BATTALION 40 ENGINE 247,1336 60TH STREET, ,BROOKLYN,NY,11219,,,718-965-8340,,,584761.397352356,4497947.04772927
54,NEW YORK CITY FIRE DEPARTMENT MARINE 9,305 FRONT STREET,PIER 14,STATEN ISLAND,NY,10304,,,718-494-4269,,,578338.17687657,4498043.97069481
55,NEW YORK CITY FIRE DEPARTMENT ENGINE 156 BRUSH FIRE UNIT 3,412 BROADWAY, ,STATEN ISLAND,NY,10310,,,718-494-4256,,,574698.48936814,4498168.37950619
56,NEW YORK CITY FIRE DEPARTMENT BATTALION 22 LADDER 79,1189 CASTLETON AVENUE, ,STATEN ISLAND,NY,10310,,,718-494-4279,,,574244.895399601,4498541.06997202
57,NEW YORK CITY FIRE DEPARTMENT ENGINE 158,65 HARBOR ROAD, ,STATEN ISLAND,NY,10303,,,718-494-4258,,,571029.455239986,4498607.37892899
58,WOODMERE VOLUNTEER FIRE DISTRICT,20 IRVING PLACE, ,WOODMERE,NY,11598,,,516-374-2105,,,609242.107832253,4498628.58437232
59,NEW YORK CITY FIRE DEPARTMENT LADDER 80 ENGINE 157,1573 CASTLETON AVENUE, ,STATEN ISLAND,NY,10302,,,718-494-4257,,,573115.364326526,4498727.62267664
60,NEW YORK CITY FIRE DEPARTMENT LADDER 78 ENGINE 155,14 BRIGHTON AVENUE, ,STATEN ISLAND,NY,10301,,,718-494-4255,,,577145.643828606,4498921.74060546
61,NEW YORK CITY FIRE DEPARTMENT ENGINE 255 LADDER 157,1367 ROGERS AVENUE, ,BROOKLYN,NY,11210,,,718-965-8255,,,588736.778632193,4498928.62761453
62,NEW YORK CITY FIRE DEPARTMENT ENGINE 241 LADDER 109,6630 3RD AVENUE, ,BROOKLYN,NY,11220,,,718-965-8241,,,582432.87865966,4499046.28240497
63,MEADOWMERE PARK FIRE DEPARTMENT,14 MEYER AVENUE, ,LAWRENCE,NY,11559,,,516-239-3088,,,606335.48571659,4499199.83422795
64,HEWLETT BAY FIRE DISTRICT,25 FRANKLIN AVENUE, ,HEWLETT,NY,11557,,,516-374-9801,,,609628.70285235,4499246.34501153
65,NEW YORK CITY FIRE DEPARTMENT ENGINE 282 LADDER 148,4210 12TH AVENUE, ,BROOKLYN,NY,11219,,,718-965-8282,,,585340.070338222,4499303.77572264
66,NEW YORK CITY FIRE DEPARTMENT ENGINE 281 LADDER 147,1210 CORTELYOU ROAD, ,BROOKLYN,NY,11218,,,718-965-8281,,,587376.71819716,4499309.87056192
67,EAST ROCKAWAY FIRE DEPARTMENT - PROTECTOR HOOK LADDER AND HOSE COMPANY 1,5 FRONT STREET, ,EAST ROCKAWAY,NY,11518,,,516-887-6340,,,613222.363736893,4499589.33739564
68,EAST ROCKAWAY FIRE DEPARTMENT - VIGILANT ENGINE COMPANY 1,5 MAIN STREET, ,EAST ROCKAWAY,NY,11518,,,516-887-6340,,,613221.974241097,4499614.92301983
69,KISMET FIRE DEPARTMENT - STORAGE FACILITY,ROBERT MOSES CAUSEWAY, ,KISMET,NY,11706,,,631-583-8084,,,651601.53305816,4499657.88375402
70,NEW YORK CITY FIRE DEPARTMENT LADDER 114,5209 5TH AVENUE, ,BROOKLYN,NY,11220,,,718-965-8314,,,583580.622341904,4499660.80644893
71,OCEANSIDE FIRE DEPARTMENT COLUMBIA ENGINE 1,26 SMITH STREET, ,OCEANSIDE,NY,11572,,,516-766-2717,,,614926.214282271,4499702.45389538
72,BALDWIN FIRE DEPARTMENT - HOSE COMPANY 2,840 CHURCH STREET, ,BALDWIN,NY,11510,,,516-223-7670,,,617495.813987154,4499818.28612955
73,NEW YORK CITY FIRE DEPARTMENT ENGINE 201,5113 4TH AVENUE, ,BROOKLYN,NY,11220,,,718-965-8201,,,583436.821402998,4499861.75528778
74,OCEANSIDE HOSE COMPANY,49 EVERGREEN AVENUE, ,OCEANSIDE,NY,11572,,,516-766-9708,,,613818.90000851,4499918.27096187
75,EAST ROCKAWAY FIRE DEPARTMENT INCORPORATED,473 ATLANTIC AVENUE, ,EAST ROCKAWAY,NY,11518,,,516-887-6340,,,612817.980742478,4499941.82348209
76,KISMET FIRE DEPARTMENT - HEADQUARTERS,OAK STREET, ,KISMET,NY,11706,,,631-583-8084,,,651791.757973772,4500022.64811817
77,NEW YORK CITY FIRE DEPARTMENT BATTALION 58 ENGINE 257 LADDER 170,1361 ROCKAWAY PARKWAY, ,BROOKLYN,NY,11236,,,718-965-8358,,,592703.232742831,4500105.80560461
78,FREEPORT FIRE DEPARTMENT HOSE COMPANY 3,375 SOUTH BAYVIEW AVENUE, ,FREEPORT,NY,11520,,,516-377-2190,,,619031.845174678,4500194.49145363
79,NEW YORK CITY FIRE DEPARTMENT BATTALION 41 ENGINE 248,2900 SNYDER AVENUE, ,BROOKLYN,NY,11226,,,718-965-8341,,,588743.759336454,4500282.05892753
80,OCEANSIDE FIRE DEPARTMENT RESCUE SQUAD,2814 TILROSE AVENUE, ,OCEANSIDE,NY,11572,,,516-766-2717,,,614865.838694021,4500289.30442452
81,SALTAIRE VOLUNTEER FIRE COMPANY INCORPORATED,107 BROADWAY, ,BAY SHORE,NY,11706,,,631-583-9507,,,652386.042287351,4500337.83574052
82,OCEANSIDE FIRE DEPARTMENT/SALAMANDER HOOK LADDER AND BUCKET COMPANY 1 - HEADQUARTERS,65 FOXHURST ROAD, ,OCEANSIDE,NY,11572,,,516-766-3010,,,615323.124820599,4500352.08086758
83,FAIR HARBOR FIRE DISTRICT / FAIR HARBOR FIRE RESCUE DEPARTMENT,28 BAY WALK, ,BAY SHORE,NY,11706,,,631-583-8546,,,653422.837116213,4500454.61680411
84,NEW YORK CITY FIRE DEPARTMENT ENGINE 310 LADDER 174,5105 SNYDER AVENUE, ,BROOKLYN,NY,11203,,,718-965-8310,,,590558.067263861,4500489.90818715
85,EAST ROCKAWAY FIRE DEPARTMENT - HOSE COMPANY 1,13 GRANT AVENUE, ,EAST ROCKAWAY,NY,11518,,,516-887-6340,,,612762.7038684,4500516.78684831
86,ROCKVILLE CENTRE FIRE DEPARTMENT STATION 4,DRISCOLL AVENUE, ,ROCKVILLE CENTRE,NY,11570,,,516-678-9275,,,614470.911001086,4500529.96588213
87,NEW YORK CITY FIRE DEPARTMENT BATTALION 48 ENGINE 240,1307 PROSPECT AVENUE, ,BROOKLYN,NY,11218,,,718-965-8348,,,586609.103906346,4500538.99973228
88,OCEANSIDE FIRE DEPARTMENT STATION 3,2543 COLUMBUS AVENUE, ,OCEANSIDE,NY,11572,,,516-766-2717,,,616001.291915624,4500578.06251151
89,NEW YORK CITY FIRE DEPARTMENT ENGINE 228,436 39TH STREET, ,BROOKLYN,NY,11232,,,718-965-8228,,,584092.761597031,4500581.11487008
90,FREEPORT FIRE DEPARTMENT HOSE COMPANY 1,22 SOUTHSIDE AVENUE, ,FREEPORT,NY,11520,,,516-377-2190,,,620287.989539136,4500718.09507408
91,EAST ROCKAWAY FIRE DEPARTMENT - LIBERTY HOSE COMPANY 2,2 CLARK STREET, ,EAST ROCKAWAY,NY,11518,,,516-887-6340,,,613081.881273691,4500845.68957754
92,WEST HAMILTON BEACH VOLUNTEER FIRE DEPARTMENT AND AMBULANCE CORPS,102-33 DAVENPORT COURT, ,HOWARD BEACH,NY,11414,,,718-843-1716,,,599048.471470722,4500990.65203019
93,VALLEY STREAM FIRE DEPARTMENT ENGINE COMPANY 3,COCHRAN PLACE, ,VALLEY STREAM,NY,11581,,,516-825-9225,,,609678.562320541,4501019.42137778
94,BALDWIN FIRE DEPARTMENT - HEADQUARTERS,2386 GRAND AVENUE, ,BALDWIN,NY,11510,,,516-223-7670,,,617346.416896896,4501093.8714203
95,LYNBROOK VOLUNTEER FIRE DEPARTMENT-ENGINE COMPANY 1,34 CARPENTER AVENUE, ,LYNBROOK,NY,11563,,,516-599-9156,,,612134.858485827,4501174.63618212
96,OCEAN BEACH VOLUNTEER FIRE DEPARTMENT - HEADQUARTERS,591 BAYBERRY WALK, ,OCEAN BEACH,NY,11770,,,631-583-7500,,,655950.514573633,4501221.36668079
97,ROCKVILLE CENTRE FIRE DEPARTMENT STATION 5,73 SOUTH CENTRE AVENUE, ,ROCKVILLE CENTRE,NY,11570,,,516-678-9274,,,614156.872828101,4501379.37816427
98,FREEPORT FIRE DEPARTMENT TRUCK COMPANY 1,76 CHURCH STREET, ,FREEPORT,NY,11520,,,516-377-2190,,,619844.222964036,4501389.27551963
99,OCEAN BEACH VOLUNTEER FIRE DEPARTMENT STATION 1,BUNGALOW WALK, ,OCEAN BEACH,NY,11770,,,631-583-7500,,,655711.20076229,4501413.9185985
100,LYNBROOK VOLUNTEER FIRE DEPARTMENT-RESCUE HOOK LADDER AND BUCKET COMPANY 1,189 EARLE AVENUE, ,LYNBROOK,NY,11563,,,516-599-9577,,,612526.215511892,4501538.30332799
101,FREEPORT FIRE DEPARTMENT HOSE COMPANY 4,212 WEST SUNRISE HIGHWAY, ,FREEPORT,NY,11520,,,516-377-2190,,,619072.171783062,4501559.25239985
102,NEW YORK CITY FIRE DEPARTMENT ENGINE 249 LADDER 113,491 ROGERS AVENUE, ,BROOKLYN,NY,11225,,,718-965-8249,,,588480.971857833,4501569.1185207
103,OCEAN BAY PARK FIRE DEPARTMENT,BAYVIEW AVENUE, ,OCEAN BEACH,NY,11770,,,631-583-7155,,,657213.041912553,4501569.83919452
104,NEW YORK CITY FIRE DEPARTMENT LADDER 173 ENGINE 331,158-57 CROSS BAY BOULEVARD, ,JAMAICA,NY,11414,,,718-476-6231,,,598100.779224331,4501577.70504409
105,VALLEY STREAM FIRE DEPARTMENT ENGINE COMPANY 2 AND CHEMICAL AND HOSE COMPANY 2,100 BROOKLYN AVENUE, ,VALLEY STREAM,NY,11581,,,516-825-9225,,,610308.059703439,4501592.37313593
106,LYNBROOK FIRE DEPARTMENT-HEADQUARTERS,81 WRIGHT AVENUE, ,LYNBROOK,NY,11563,,,516-599-1547,,,611105.011611934,4501627.77091037
107,LYNBROOK VOLUNTEER FIRE DEPARTMENT-HOSE COMPANY 1,35 BLAKE AVENUE, ,LYNBROOK,NY,11563,,,516-599-9636,,,612240.438215676,4501655.01671345
108,NEW YORK CITY FIRE DEPARTMENT ENGINE 283 15TH DIVISION,885 HOWARD AVENUE, ,BROOKLYN,NY,11212,,,718-965-8315,,,591467.472341671,4501684.0978229
109,LYNBROOK VOLUNTEER FIRE DEPARTMENT-VULCAN CHEMICAL AND HOSE COMPANY,216 DENTON AVENUE, ,LYNBROOK,NY,11563,,,516-599-9619,,,612748.698516266,4501696.21990246
110,POINT O' WOODS FIRE COMPNAY,5 POINT O WOODS AVENUE, ,POINT O WOODS,NY,11706,,,631-583-7124,,,657651.176658346,4501742.92462142
111,FREEPORT FIRE DEPARTMENT - HEADQUARTERS,15 BROADWAY, ,FREEPORT,NY,11520,,,516-377-2190,,,619773.607552049,4501776.42078955
112,BELLMORE FIRE DISTRICT STATION 2,2670 BELLMORE AVENUE, ,BELLMORE,NY,11710,,,516-781-2384,,,624924.140740079,4501779.95203176
113,ROCKVILLE CENTRE FIRE DEPARTMENT - HEADQUARTERS,58 NORTH CENTRE AVENUE, ,ROCKVILLE CENTRE,NY,11570,,,516-678-9320,,,614127.592859112,4501781.90339775
114,ROCKVILLE CENTRE FIRE DEPARTMENT ENGINE COMPANY 1/HOOK AND LADDER COMPANY 1,103 MAPLE AVENUE, ,ROCKVILLE CENTRE,NY,11570,,,516-678-9277,,,614913.666972623,4501797.29456626
115,BALDWIN FIRE DEPARTMENT - HOSE COMPANY 3,730 BALDWIN AVENUE, ,BALDWIN,NY,11510,,,516-223-7670,,,617568.06932093,4501810.21507753
116,WANTAGH FIRE DEPARTMENT STATION 3,2529 NEPTUNE AVENUE, ,SEAFORD,NY,11783,,,516-785-0180,,,627162.671777355,4501900.53030637
117,ROCKVILLE CENTER FIRE DEPARTMENT/RELIANCE HOSE COMPANY NUMBER 3,137 NORTH FOREST AVENUE, ,ROCKVILLE CENTRE,NY,11570,,,516-678-9276,,,615231.411847317,4501903.39224995
118,LYNBROOK VOLUNTEER FIRE DEPARTMENT-TALLEY-HO ENGINE 3,10 HORTON AVENUE, ,LYNBROOK,NY,11563,,,516-887-1279,,,610892.918254718,4501916.32754106
119,VALLEY STREAM FIRE DEPARTMENT HOOK AND LADDER COMPANY 1,SOUTH CORONA AVENUE, ,VALLEY STREAM,NY,11580,,,516-825-9225,,,609751.963315954,4502014.31358538
120,NEW YORK CITY FIRE DEPARTMENT ENGINE 220 LADDER 122,530 11TH STREET, ,BROOKLYN,NY,11215,,,718-965-8220,,,586088.504117899,4502058.03312602
121,BELLMORE FIRE DISTRICT STATION 3,2427 NEW PLACE, ,BELLMORE,NY,11710,,,516-781-2384,,,623805.197697452,4502153.46429626
122,NEW YORK CITY FIRE DEPARTMENT LADDER 158 ENGINE 311,145-50 SPRINGFIELD BOULEVARD, ,JAMAICA,NY,11413,,,718-476-6211,,,604829.277078685,4502153.98969444
123,NEW YORK CITY FIRE DEPARTMENT ENGINE 290 LADDER 103,480 SHEFFIELD AVENUE, ,BROOKLYN,NY,11207,,,718-965-8290,,,593363.881773014,4502169.46652406
124,MERRICK FIRE DEPARTMENT EMPIRE HOSE COMPANY 3,2300 MERRICK AVENUE, ,MERRICK,NY,11566,,,516-378-3633,,,622435.413550117,4502177.71145547
125,NEW YORK CITY FIRE DEPARTMENT ENGINE 314,142-04 BROOKVILLE BOULEVARD, ,JAMAICA,NY,11422,,,718-476-6214,,,606434.503585518,4502238.17164441
126,WANTAGH FIRE DEPARTMENT STATION 5,2985 MERRICK ROAD, ,BELLMORE,NY,11710,,,516-785-0180,,,625429.000508337,4502498.57414106
127,VALLEY STREAM FIRE DEPARTMENT ENGINE COMPANY 1 - HEADQUARTERS,EAST OXFORD STREET, ,VALLEY STREAM,NY,11580,,,516-825-9225,,,610139.266084141,4502527.36251996
128,MERRICK FIRE DEPARTMENT HOOK AND LADDER COMPANY 1,2150 BROOKLYN AVENUE, ,MERRICK,NY,11566,,,516-867-4459,,,622198.271501054,4502597.35798947
129,MERRICK FIRE DEPARTMENT - HEADQUARTERS,2075 MEADOWBROOK ROAD, ,MERRICK,NY,11566,,,516-223-1503,,,621269.185530543,4502598.27823326
130,NEW YORK CITY FIRE DEPARTMENT BATTALION 39 ENGINE 225 LADDER 107,799 LINCOLN AVENUE, ,BROOKLYN,NY,11208,,,718-965-8339,,,595899.07815394,4502681.3378254
131,NEW YORK CITY FIRE DEPARTMENT BATTALION 38 ENGINE 234 LADDER 123,1352 SAINT JOHNS PLACE, ,BROOKLYN,NY,11213,,,718-965-8338,,,590139.800400405,4502719.61481255
132,VALLEY STREAM FIRE DEPARTMENT ENGINE COMPANY 4 AND HOOK AND LADDER COMPANY 2,CLEARSTREAM AVENUE, ,VALLEY STREAM,NY,11580,,,516-825-9225,,,608471.92449646,4502739.74248569
133,NEW YORK CITY FIRE DEPARTMENT BATTALION 44 ENGINE 231 LADDER 120,107 WATKINS STREET, ,BROOKLYN,NY,11212,,,718-965-8344,,,592311.040244681,4502762.89210462
134,CHERRY GROVE FIRE DEPARTMENT,181 BAYVIEW WALK, ,CHERRY GROVE,NY,11782,,,631-597-6697,,,661397.22105285,4502764.32201226
135,FREEPORT FIRE DEPARTMENT HOSE COMPANY 5,47 LEONARD AVENUE, ,FREEPORT,NY,11520,,,516-377-2190,,,619619.683736503,4502799.58809988
136,NEW YORK CITY FIRE DEPARTMENT ENGINE 239,395 4TH AVENUE, ,BROOKLYN,NY,11215,,,718-965-8239,,,585596.640451198,4502815.09735874
137,NEW YORK CITY FIRE DEPARTMENT ENGINE 279 LADDER 131,252 LORRAINE STREET, ,BROOKLYN,NY,11231,,,718-965-8279,,,584545.788926163,4502840.12202489
138,NEW YORK CITY FIRE DEPARTMENT ENGINE 280 LADDER 132,489 SAINT JOHNS PLACE, ,BROOKLYN,NY,11238,,,718-965-8280,,,587758.036520445,4503027.97330715
139,SEAFORD FIRE DEPARTMENT,2170 SOUTHARD AVENUE, ,SEAFORD,NY,11783,,,516-679-2623,,,627717.542273609,4503081.16938972
140,BELLMORE FIRE DEPARTMENT STATION 1,230 PETTIT AVENUE, ,BELLMORE,NY,11710,,,516-221-4418,,,624318.731251941,4503086.73741244
141,MASSAPEQUA FIRE AND RESCUE,5478 MERRICK ROAD, ,MASSAPEQUA,NY,11758,,,516-798-9849,,,632283.971212504,4503130.99632907
142,NEW YORK CITY FIRE DEPARTMENT SQUAD 1,788 UNION STREET, ,BROOKLYN,NY,11215,,,718-965-8269,,,586486.308109007,4503143.4520341
143,NEW YORK CITY FIRE DEPARTMENT ENGINE 227,423 RALPH AVENUE, ,BROOKLYN,NY,11233,,,718-965-8227,,,591129.436447292,4503213.27786273
144,NEW YORK CITY FIRE DEPARTMENT RESCUE 2,1472 BERGEN STREET, ,BROOKLYN,NY,11213,,,718-999-2117,,,589999.357991993,4503225.36022828
145,NEW YORK CITY FIRE DEPARTMENT LADDER 155 ENGINE 302,143-15 ROCKAWAY BOULEVARD, ,JAMAICA,NY,11436,,,718-476-6202,,,601834.188846027,4503272.08397665
146,MALVERNE FIRE DEPARTMENT,30 BROADWAY, ,MALVERNE,NY,11565,,,516-599-1200,,,612101.501927933,4503312.52313021
